,Name,Laptop ID,Price,Date
40,"DELL Inspiron 3593 15.6-inch Laptop (10th Gen Ci5-1035G1/8GB/1TB HDD + 256GB SSD/Windows 10/2GB NVIDIA MX 230 Graphics), Platinum Silver",B07ZG5W9QN,65679,13/11
41,Dell Inspiron 5300 13.3-inch FHD Laptop (10th Gen i5-10210U/8GB/512GB SSD/Win 10 + MS Office/Intel UHD Graphics/Platinum Silver) D560214WIN9S,B08CW411GG,73990,13/11
42,Dell Inspiron 5501 15.6 Inch FHD Laptop (10th Gen i5-1035G1/8 GB/512 SSD/2 GB Nvidia Graphics/Win 10 + MS Office H&S 2019/Silver) D560212WIN9S,B08GY7YLY7,68999,13/11
43,"HP 245 G7 14-inch Business Laptop (Ryzen 5 3500U/4GB/256GB SSD/DOS/Jet Black/1.85kg), 2D5Y6PA",B08L8WTZ4K,31990,13/11
44,"Acer Acer One Intel Pentium Gold 4415U Processor 14-inch Display 1366 x 768 Laptop (4 GB Ram/1TB HDD/Windows 10 Home/Integrated Graphics/Black/1.8kgs), Z2-485",B08CY9SL14,24480,13/11
45,"HP Pavilion 15.6-inch FHD Laptop (10th Gen i5-1035G1/8GB/1TB HDD + 256GB SSD/Windows 10/MS Office/2GB Graphics/Mineral Silver/1.85 kg), 15-cs3006tx",B081JZTVWZ,66890,13/11
46,"HP Notebook 250 G7 Laptop 2A9A5PA#ACJ (Intel Celeron N4020/4GB Ram/1TB HDD/15.6 inch HD/Windows 10/Intel UHD Graphics/1.78Kg),Dark Ash Silver",B08JQJS9SB,28999,13/11
47,"Lenovo IdeaPad S540 10th Gen Intel Core i5 15.6-inch Full HD IPS Thin and Light Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/MS Office 2019/NVIDIA MX250 2GB Graphics/Mineral Grey/1.8Kg), 81NG002BIN",B083PFG5HH,74990,13/11
48,"HP 15 10th Gen Core i5 15.6-inch FHD Laptop (i5-10210U/8GB/1TB HDD + 256GB SSD/Win 10/MS Office/2GB NVIDIA GeForce MX130 Graphics/Natural Silver/1.74kg), 15s dr1000tx",B084375P8S,67980,13/11
49,"ASUS ROG Zephyrus G14, 14"" FHD 120Hz, Ryzen 7 4800HS, GTX 1660Ti Max Q 6GB Graphics, Gaming Laptop (16GB/1TB SSD/Office/Windows 10/White/Anime Matrix/1.7 Kg), GA401IU-HE138TS + Xbox Game Pass for PC",B08CFSS78G,114990,13/11
50,"AVITA LIBER V14 NS14A8INF562-SG 14-inch Laptop (Core i5-10210U/8GB/512GB SSD/FHD/Windows 10 Home/Intel UHD Graphics 620/MS Office 365/ 1.25KG), Space Grey",B08B25KLN6,39490,13/11
