,Name,LaptopID,RAM,HDD,SSD,Graphic,Link,Price
22,Acer Aspire 3 Core i5 10th Gen - (8 GB/1 TB HDD/Windows 10 Home) A315-56 Laptop,COMFTFD3HTZFQV25,8,1,0,0,https://www.flipkart.com/acer-aspire-3-core-i5-10th-gen-8-gb-1-tb-hdd-windows-10-home-a315-56-laptop/p/itme54656bda30d6?pid=COMFTFD3HTZFQV25&lid=LSTCOMFTFD3HTZFQV25ZQDSFJ&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=920ac768-24da-4ab9-b80a-93d78312e585.COMFTFD3HTZFQV25.SEARCH&ssid=zq11nxk6cg0000001602707739577,"45,990"
23,Asus VivoBook Gaming Core i5 9th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce ...,COMFTWZD94PPAGHX,16,0,512,4,https://www.flipkart.com/asus-vivobook-gaming-core-i5-9th-gen-16-gb-512-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-120-hz-f571gt-al877t-laptop/p/itmf99e10ac43b75?pid=COMFTWZD94PPAGHX&lid=LSTCOMFTWZD94PPAGHXXKKBVX&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=en_tcfxz2OUBDobyrc1jH5mQpvT2Ssw9rIRvqm%2B2ObFVu2289zc0rqoJXx1h3vkdR%2Bo1yYIIN2A1JgBjHKgGbZ2aQ%3D%3D&ssid=zq11nxk6cg0000001602707739577,"68,990"
24,Asus VivoBook 14 Ryzen 5 Hexa Core 4500U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK582T Thin and Li...,COMFSKF9ZWGMFX4D,8,0,512,0,https://www.flipkart.com/asus-vivobook-14-ryzen-5-hexa-core-4500u-8-gb-512-gb-ssd-windows-10-home-m413ia-ek582t-thin-light-laptop/p/itm8d1c44556be49?pid=COMFSKF9ZWGMFX4D&lid=LSTCOMFSKF9ZWGMFX4DEMHVKL&marketplace=FLIPKART&srno=b_2_25&otracker=browse&fm=organic&iid=f010e61f-1d51-4421-89a6-6c6eb15d0c64.COMFSKF9ZWGMFX4D.SEARCH&ssid=ht6bhulayo0000001602707741089,"50,991"
25,HP Pavilion x360 Core i3 10th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14-dh1178TU 2 in 1 Laptop,COMFU7ANFMFZ9G9Q,8,0,512,0,https://www.flipkart.com/hp-pavilion-x360-core-i3-10th-gen-8-gb-512-gb-ssd-windows-10-home-14-dh1178tu-2-1-laptop/p/itmde31406a607c9?pid=COMFU7ANFMFZ9G9Q&lid=LSTCOMFU7ANFMFZ9G9QFAOZXG&marketplace=FLIPKART&srno=b_2_26&otracker=browse&fm=organic&iid=f010e61f-1d51-4421-89a6-6c6eb15d0c64.COMFU7ANFMFZ9G9Q.SEARCH&ssid=ht6bhulayo0000001602707741089,"53,990"
26,HP 15s Ryzen 5 Quad Core 3500U - (8 GB/512 GB SSD/Windows 10 Home) 15s-EQ0024au Thin and Light Laptop,COMFZGSZUG754EAH,8,0,512,0,https://www.flipkart.com/hp-15s-ryzen-5-quad-core-3500u-8-gb-512-gb-ssd-windows-10-home-15s-eq0024au-thin-light-laptop/p/itme4fb92560cdfb?pid=COMFZGSZUG754EAH&lid=LSTCOMFZGSZUG754EAHHAKKUI&marketplace=FLIPKART&srno=b_2_27&otracker=browse&fm=organic&iid=f010e61f-1d51-4421-89a6-6c6eb15d0c64.COMFZGSZUG754EAH.SEARCH&ssid=ht6bhulayo0000001602707741089,"49,219"
27,Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX ...,COMFSH28EBGAMXZH,8,1,0,4,https://www.flipkart.com/lenovo-ideapad-l340-core-i5-9th-gen-8-gb-1-tb-hdd-windows-10-home-4-gb-graphics-nvidia-geforce-gtx-1650-60-hz-l340-15irh-gaming-laptop/p/itm956f5c12ef271?pid=COMFSH28EBGAMXZH&lid=LSTCOMFSH28EBGAMXZHLEHTWD&marketplace=FLIPKART&srno=b_2_28&otracker=browse&fm=organic&iid=en_c2OdPXzK1zNaafmnzSSa2pWKZH74%2BGCPS0Bt2%2FE1LuVfBkDTaGyiucKBL3SB7t7DUnSaD%2B7lVg36KZBHwT8LNw%3D%3D&ssid=ht6bhulayo0000001602707741089,"58,990"
28,Asus VivoBook 14 Core i3 10th Gen - (4 GB/256 GB SSD/Windows 10 Home) X412FA-EK363T Thin and Light Lap...,COMFQV98HEDHQNKR,4,0,256,0,https://www.flipkart.com/asus-vivobook-14-core-i3-10th-gen-4-gb-256-gb-ssd-windows-10-home-x412fa-ek363t-thin-light-laptop/p/itmc15607cfcacc6?pid=COMFQV98HEDHQNKR&lid=LSTCOMFQV98HEDHQNKRUTXD2A&marketplace=FLIPKART&srno=b_2_29&otracker=browse&fm=organic&iid=f010e61f-1d51-4421-89a6-6c6eb15d0c64.COMFQV98HEDHQNKR.SEARCH&ssid=ht6bhulayo0000001602707741089,"36,990"
29,Asus VivoBook 14 Ryzen 7 Octa Core 4700U - (8 GB/512 GB SSD/Windows 10 Home) M413IA-EK585T Thin and Li...,COMFSKF9MURH7KSD,8,0,512,0,https://www.flipkart.com/asus-vivobook-14-ryzen-7-octa-core-4700u-8-gb-512-gb-ssd-windows-10-home-m413ia-ek585t-thin-light-laptop/p/itm400c21c345c5f?pid=COMFSKF9MURH7KSD&lid=LSTCOMFSKF9MURH7KSDVU1Y0U&marketplace=FLIPKART&srno=b_2_30&otracker=browse&fm=organic&iid=f010e61f-1d51-4421-89a6-6c6eb15d0c64.COMFSKF9MURH7KSD.SEARCH&ssid=ht6bhulayo0000001602707741089,"55,591"
30,Lenovo Ideapad S145 Ryzen 3 Dual Core 3200U - (4 GB/1 TB HDD/Windows 10 Home) S145-15API Laptop,COMFS9YWTUCW6DEH,4,1,0,0,https://www.flipkart.com/lenovo-ideapad-s145-ryzen-3-dual-core-3200u-4-gb-1-tb-hdd-windows-10-home-s145-15api-laptop/p/itmd6d9c44639f7a?pid=COMFS9YWTUCW6DEH&lid=LSTCOMFS9YWTUCW6DEHTUFFN2&marketplace=FLIPKART&srno=b_2_31&otracker=browse&fm=organic&iid=f010e61f-1d51-4421-89a6-6c6eb15d0c64.COMFS9YWTUCW6DEH.SEARCH&ssid=ht6bhulayo0000001602707741089,"33,490"
31,Asus ROG Strix G Core i5 9th Gen - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Gefo...,COMFG9YREHZ9VBKH,8,1,256,4,https://www.flipkart.com/asus-rog-strix-g-core-i5-9th-gen-8-gb-1-tb-hdd-256-gb-ssd-windows-10-home-4-graphics-nvidia-geforce-gtx-1650-60-hz-g531gt-bq024t-gaming-laptop/p/itmfg9yrrazqt7dk?pid=COMFG9YREHZ9VBKH&lid=LSTCOMFG9YREHZ9VBKH8WVPW9&marketplace=FLIPKART&srno=b_2_32&otracker=browse&fm=organic&iid=en_c2OdPXzK1zNaafmnzSSa2pWKZH74%2BGCPS0Bt2%2FE1LuWGxYcB1q36z9UIxS5oGNv4%2FVaL4S%2FEcyMmjzVejyfrjQ%3D%3D&ssid=ht6bhulayo0000001602707741089,"74,990"
